customer_id,first_name,last_name,gender,date_of_birth,age,email,phone_number,city,state,country,postal_code,occupation,annual_income,marital_status,education_level,employment_status,customer_since,customer_segment,kyc_status,risk_rating,is_politically_exposed,preferred_channel,email_verified,phone_verified,num_complaints_last_year,is_quarantined
CUST_00001,Krishna,Sharma,M,1985-05-26 00:00:00,41,krishna.sharma31@gmail.com,+91-6939042955,Gurugram,Haryana,IN,741262,,355047.0,MARRIED,DIPLOMA,,2024-11-26 00:00:00,PREMIUM,VERIFIED,MEDIUM,False,PHONE_BANKING,True,True,1,False
CUST_00002,Anika,Fernandes,M,2008-08-31 00:00:00,18,anika.fernandes907@outlook.com,+91-8479708607,Gurugram,Haryana,IN,182933,,101869.0,,,EMPLOYED,2020-06-15 00:00:00,RETAIL,VERIFIED,LOW,False,PHONE_BANKING,True,True,1,False
CUST_00003,Siddharth,Rao,F,1989-03-17 00:00:00,37,siddharth.rao235@gmail.com,+91-9457645390,Indore,Madhya Pradesh,IN,390746,,443684.0,MARRIED,DIPLOMA,RETIRED,2016-02-03 00:00:00,RETAIL,VERIFIED,MEDIUM,False,INTERNET_BANKING,True,True,0,False
CUST_00004,Ishaan,Pillai,M,1978-08-15 00:00:00,48,ishaan.pillai391@rediffmail.com,+91-8272528809,Chandigarh,Punjab,IN,690099,SALARIED_IT,,MARRIED,GRADUATE,SELF_EMPLOYED,2016-10-23 00:00:00,RETAIL,VERIFIED,MEDIUM,False,MOBILE_APP,True,True,1,False
CUST_00005,Saanvi,Mehta,F,2000-07-08 00:00:00,26,saanvi.mehta501@gmail.com,+91-6480468219,Hyderabad,Telangana,IN,432451,BUSINESS_OWNER,1043536.0,,POST_GRADUATE,STUDENT,2017-12-01 00:00:00,RETAIL,VERIFIED,HIGH,False,MOBILE_APP,False,False,0,False
CUST_00006,Karthik,Malhotra,,1977-03-10 00:00:00,49,karthik.malhotra568@yahoo.in,+91-8527331058,Noida,Uttar Pradesh,IN,184441,BUSINESS_OWNER,,,GRADUATE,EMPLOYED,2021-07-22 00:00:00,RETAIL,PENDING,LOW,False,MOBILE_APP,True,True,1,False
CUST_00007,Sneha,Mukherjee,M,1973-03-05 00:00:00,53,sneha.mukherjee348@gmail.com,+91-7067970820,Kochi,Kerala,IN,672336,STUDENT,170728.0,SINGLE,POST_GRADUATE,RETIRED,2016-10-12 00:00:00,RETAIL,VERIFIED,HIGH,False,BRANCH,True,True,1,False
CUST_00008,Nikhil,Agarwal,F,1982-08-30 00:00:00,44,nikhil.agarwal714@rediffmail.com,+91-6664847319,Jaipur,Rajasthan,IN,338275,SALARIED_HEALTHCARE,716921.0,MARRIED,HIGH_SCHOOL,EMPLOYED,2022-03-21 00:00:00,RETAIL,VERIFIED,HIGH,False,INTERNET_BANKING,True,True,0,False
CUST_00009,Joseph,Shah,M,1982-11-16 00:00:00,43,joseph.shah322@yahoo.in,+91-7140805649,Pune,Maharashtra,IN,786856,SALARIED_BANKING,1742486.0,,GRADUATE,,2021-10-07 00:00:00,RETAIL,VERIFIED,LOW,False,BRANCH,True,True,1,False
CUST_00010,Saanvi,Fernandes,M,1998-10-19 00:00:00,27,saanvi.fernandes761@yahoo.in,+91-7169726681,Mumbai,Maharashtra,IN,330861,HOMEMAKER,442396.0,MARRIED,GRADUATE,RETIRED,2023-02-10 00:00:00,RETAIL,,HIGH,False,INTERNET_BANKING,True,True,0,False
CUST_00011,Sneha,Chandrakanti,F,1990-08-01 00:00:00,36,sneha.chandrakanti152@rediffmail.com,+91-6547374338,Mumbai,Maharashtra,IN,492364,SALARIED_BANKING,392354.0,MARRIED,DIPLOMA,EMPLOYED,2015-11-15 00:00:00,PRIVATE_BANKING,PENDING,MEDIUM,False,BRANCH,False,True,0,False
CUST_00012,Meera,Sharma,M,1980-04-12 00:00:00,46,meera.sharma392@gmail.com,+91-9687629943,Coimbatore,Tamil Nadu,IN,319267,RETIRED,461488.0,SINGLE,,EMPLOYED,2017-06-22 00:00:00,PREMIUM,VERIFIED,LOW,False,MOBILE_APP,True,False,1,False
CUST_00013,Krishna,Chauhan,F,1981-06-30 00:00:00,45,krishna.chauhan524@gmail.com,+91-7654401763,Gurugram,Haryana,IN,309312,FREELANCER,428156.0,SINGLE,GRADUATE,SELF_EMPLOYED,2023-06-29 00:00:00,RETAIL,VERIFIED,LOW,False,MOBILE_APP,True,True,1,False
CUST_00014,Saanvi,Singh,F,1986-04-14 00:00:00,40,saanvi.singh925@yahoo.in,+91-8643616431,Kochi,Kerala,IN,535800,RETIRED,,SINGLE,GRADUATE,EMPLOYED,2018-08-26 00:00:00,RETAIL,VERIFIED,LOW,False,,True,True,0,False
CUST_00015,Myra,Iyer,OTHER,1979-10-21 00:00:00,46,myra.iyer787@gmail.com,+91-7955997540,Delhi,Delhi,IN,770356,SELF_EMPLOYED,845180.0,MARRIED,DIPLOMA,RETIRED,2023-12-13 00:00:00,PRIVATE_BANKING,PENDING,LOW,False,INTERNET_BANKING,True,True,1,False
CUST_00016,Krishna,Kulkarni,F,2007-01-29 00:00:00,19,krishna.kulkarni517@rediffmail.com,+91-9567267411,Chennai,Tamil Nadu,IN,577574,HOMEMAKER,302049.0,MARRIED,DIPLOMA,SELF_EMPLOYED,2020-03-14 00:00:00,RETAIL,VERIFIED,MEDIUM,False,MOBILE_APP,True,True,0,False
CUST_00017,Rahul,Desai,M,1996-09-29 00:00:00,29,rahul.desai399@gmail.com,+91-9679636056,Chennai,Tamil Nadu,IN,713655,GOVERNMENT_EMPLOYEE,,MARRIED,POST_GRADUATE,EMPLOYED,2025-09-30 00:00:00,RETAIL,VERIFIED,LOW,False,,True,True,0,False
CUST_00018,Kavya,Kapoor,F,2000-01-29 00:00:00,26,kavya.kapoor439@yahoo.in,+91-9723098211,Coimbatore,Tamil Nadu,IN,162727,SALARIED_HEALTHCARE,969115.0,MARRIED,POST_GRADUATE,STUDENT,2019-06-29 00:00:00,PREMIUM,VERIFIED,,False,PHONE_BANKING,True,False,0,False
CUST_00019,Aditya,Bhat,F,1993-05-23 00:00:00,33,aditya.bhat224@rediffmail.com,+91-9004179184,Mumbai,Maharashtra,IN,496814,GOVERNMENT_EMPLOYEE,647825.0,MARRIED,POST_GRADUATE,,2017-01-21 00:00:00,RETAIL,VERIFIED,LOW,False,,True,True,0,False
CUST_00020,Reyansh,Malhotra,M,1978-10-15 00:00:00,47,reyansh.malhotra380@gmail.com,+91-8173085046,Noida,Uttar Pradesh,IN,123266,FREELANCER,887952.0,SINGLE,GRADUATE,SELF_EMPLOYED,2017-06-08 00:00:00,PREMIUM,VERIFIED,MEDIUM,False,MOBILE_APP,True,True,0,False
CUST_00021,Diya,Banerjee,F,1995-08-13 00:00:00,31,diya.banerjee507@outlook.com,+91-6780996231,Delhi,Delhi,IN,482060,SELF_EMPLOYED,1469720.0,MARRIED,,STUDENT,2016-07-31 00:00:00,PREMIUM,VERIFIED,LOW,False,INTERNET_BANKING,True,True,0,False
CUST_00022,Rahul,Desai,F,2005-04-20 00:00:00,21,rahul.desai720@rediffmail.com,+91-7163577186,Delhi,Delhi,IN,351736,FREELANCER,338864.0,SINGLE,POST_GRADUATE,EMPLOYED,2022-05-01 00:00:00,PREMIUM,VERIFIED,LOW,False,MOBILE_APP,True,True,0,False
CUST_00023,Aarav,Malhotra,F,1982-05-12 00:00:00,44,aarav.malhotra894@gmail.com,+91-8465587067,Chennai,Tamil Nadu,IN,611968,SALARIED_IT,641274.0,SINGLE,GRADUATE,,2025-11-09 00:00:00,RETAIL,VERIFIED,LOW,False,MOBILE_APP,True,True,0,False
CUST_00024,Thomas,Fernandes,M,1994-01-02 00:00:00,32,thomas.fernandes62@gmail.com,+91-9275930923,Delhi,Delhi,IN,331275,RETIRED,373780.0,SINGLE,DIPLOMA,SELF_EMPLOYED,2021-06-01 00:00:00,RETAIL,EXPIRED,MEDIUM,False,MOBILE_APP,True,True,0,False
CUST_00025,Maria,Singh,,1993-02-21 00:00:00,33,maria.singh812@outlook.com,+91-8555694670,Hyderabad,Telangana,IN,706856,SALARIED_BANKING,750419.0,MARRIED,GRADUATE,EMPLOYED,2020-05-12 00:00:00,RETAIL,VERIFIED,LOW,False,MOBILE_APP,True,True,0,False
CUST_00026,Maria,Sharma,F,1992-12-05 00:00:00,33,maria.sharma600@rediffmail.com,+91-8726379588,Gurugram,Haryana,IN,205674,SALARIED_IT,493427.0,,DIPLOMA,EMPLOYED,2017-11-29 00:00:00,RETAIL,,,False,,True,True,1,False
CUST_00027,Aarav,Singh,,1995-02-27 00:00:00,31,aarav.singh274@yahoo.in,+91-9984324182,Indore,Madhya Pradesh,IN,618257,SALARIED_IT,600938.0,MARRIED,DIPLOMA,EMPLOYED,2024-05-13 00:00:00,SME,VERIFIED,LOW,False,BRANCH,True,True,0,False
CUST_00028,Diya,Joshi,M,1983-01-31 00:00:00,43,diya.joshi885@gmail.com,+91-7186473561,Chandigarh,Punjab,IN,545098,GOVERNMENT_EMPLOYEE,832919.0,,POST_GRADUATE,EMPLOYED,2021-05-07 00:00:00,PREMIUM,VERIFIED,HIGH,False,INTERNET_BANKING,False,True,0,False
CUST_00029,Siddharth,Khan,M,1994-05-30 00:00:00,32,siddharth.khan812@yahoo.in,+91-8127420335,Jaipur,Rajasthan,IN,242378,RETIRED,338042.0,MARRIED,GRADUATE,EMPLOYED,2025-12-24 00:00:00,RETAIL,VERIFIED,HIGH,False,PHONE_BANKING,True,True,0,False
CUST_00030,Myra,Agarwal,F,2007-04-14 00:00:00,19,myra.agarwal233@gmail.com,+91-7863893256,Jaipur,Rajasthan,IN,774532,STUDENT,100638.0,SINGLE,HIGH_SCHOOL,EMPLOYED,2016-09-07 00:00:00,RETAIL,VERIFIED,LOW,False,MOBILE_APP,True,True,2,False
CUST_00031,Siddharth,Menon,F,1993-05-31 00:00:00,33,siddharth.menon694@yahoo.in,+91-6317234448,Chennai,Tamil Nadu,IN,472351,STUDENT,257953.0,DIVORCED,GRADUATE,STUDENT,2019-04-26 00:00:00,RETAIL,VERIFIED,LOW,False,,True,True,1,False
CUST_00032,Aarav,Khan,F,2000-11-18 00:00:00,25,aarav.khan652@yahoo.in,+91-8666707262,Pune,Maharashtra,IN,253423,STUDENT,167673.0,MARRIED,GRADUATE,SELF_EMPLOYED,2017-02-16 00:00:00,RETAIL,EXPIRED,HIGH,False,MOBILE_APP,True,True,0,False
CUST_00033,Kabir,Gupta,F,1993-04-28 00:00:00,33,kabir.gupta742@rediffmail.com,+91-9632444865,Chandigarh,Punjab,IN,493542,BUSINESS_OWNER,1451656.0,SINGLE,GRADUATE,EMPLOYED,2017-06-13 00:00:00,RETAIL,VERIFIED,LOW,False,INTERNET_BANKING,True,True,0,False
CUST_00034,Arjun,DSouza,M,1982-10-06 00:00:00,43,arjun.dsouza100@yahoo.in,+91-9810749722,Indore,Madhya Pradesh,IN,517524,SELF_EMPLOYED,952090.0,MARRIED,GRADUATE,EMPLOYED,2019-03-10 00:00:00,RETAIL,VERIFIED,HIGH,False,MOBILE_APP,True,False,0,False
